id,name,depth,is_leaf,products,full_path,measured_need,measured_n,share_net_content,share_pack_count,share_colour,share_flavour,share_material,share_garment_size,share_scent,share_model_code,inferred_verdict,inferred_node,inferred_n,inferred_attrs,inferred_flagged_ancestor,inferred_tier
913,SPRAY PENYEGAR MULUT,4,true,5,Perawatan Diri & Rumah Tangga > Perawatan Diri > PERAWATAN MULUT & GIGI > SPRAY PENYEGAR MULUT,colour|flavour|net_content|scent,4,0.8,0.0,0.2,0.4,0.0,0.0,0.4,0.0,UNMAPPED,,0,,,
919,KRIM CUKUR,4,true,5,Perawatan Diri & Rumah Tangga > Perawatan Diri > PENCUKUR & PERONTOK RAMBUT > KRIM CUKUR,flavour|net_content,2,1.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,EXACT,Kesehatan & Kecantikan > Perawatan Tubuh > Mencukur & Merawat > Krim Cukur,8,Kandungan Alkohol/Pelarut | Manfaat perawatan jenggot | Bahan | Bentuk produk | Aroma | Formulasi krim cukur | Cocok untuk jenis kulit | Jenis kelamin sasaran,False,exact-raw
932,ALAT TES KEHAMILAN,4,true,5,Perawatan Diri & Rumah Tangga > Perawatan Diri > KESEHATAN SEKSUAL > ALAT TES KEHAMILAN,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FUZZY,Kesehatan & Kecantikan > Perawatan Kesehatan > Tes Medis > Tes Kehamilan,5,Sensitivitas tes kehamilan | Tampilan hasil | Format tes | Metode tes | Sampel tes,False,fuzzy-raw
957,BOR LISTRIK,4,true,5,Perbaikan Rumah > ALAT ALAT PERBAIKAN RUMAH > BOR LISTRIK & LAINNYA > BOR LISTRIK,model_code,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,FUZZY,Perkakas > Peralatan > Bor > Bor Listrik Genggam,7,Ukuran baterai | Jenis baterai | Jenis chuck | Warna | Fitur bor | Pola | Sumber listrik,True,fuzzy-raw
1005,SABUN CUCI MOTOR,4,true,5,"Hobi, Ibadah, dan Olahraga > Perawatan & Suku Cadang Motor > PERAWATAN MOTOR > SABUN CUCI MOTOR",flavour|model_code|net_content|pack_count,4,1.0,0.6,0.0,0.2,0.0,0.0,0.0,0.2,UNMAPPED,,0,,,
1012,GUNTING KAIN,4,true,5,"Hobi, Ibadah, dan Olahraga > MENJAHIT > GUNTING JAHIT > GUNTING KAIN",colour|material,2,0.0,0.0,0.4,0.0,0.4,0.0,0.0,0.0,EXACT,Seni & Hiburan > Hobi & Seni Kreatif > Seni & Kerajinan > Alat Seni & Kerajinan > Alat Potong & Embos Kerajinan > Gunting Kerajinan & Kantor > Gunting Kain,3,Bahan mata pisau | Bahan pegangan | Jenis pisau gunting,False,exact-raw
1029,JIMBE,4,true,5,"Hobi, Ibadah, dan Olahraga > OLAHRAGA > ALAT MUSIK > JIMBE",garment_size,1,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,UNMAPPED,,0,,,
1042,PAPAN RENANG,4,true,5,"Hobi, Ibadah, dan Olahraga > OLAHRAGA > PERALATAN & PERLENGKAPAN RENANG > PAPAN RENANG",,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EXACT,Peralatan Olahraga > Rekreasi Luar Ruang > Olahraga Air & Berperahu > Renang > Alat Bantu Renang Anak > Papan Renang,4,Kelompok usia | Warna | Pola | Fitur papan renang,False,exact-raw
1057,BOLA FUTSAL,4,true,5,"Hobi, Ibadah, dan Olahraga > OLAHRAGA > PERALATAN & PERLENGKAPAN SEPAK BOLA > BOLA FUTSAL",,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UNMAPPED,,0,,,
1063,BOLA TENNIS,4,true,5,"Hobi, Ibadah, dan Olahraga > OLAHRAGA > PERALATAN & PERLENGKAPAN TENNIS > BOLA TENNIS",pack_count,1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,UNMAPPED,,0,,,
