id,name,name_en,depth,numchild,is_leaf,full_code,code,is_public,ancestors_are_public,path,parent_id,parent_name,ancestor_names,full_path_name,products,products_active,products_subtree
384,UNTUK HUJAN,,3,3,false,A008-02-08,08,true,true,000800020008,48,AKSESORIS FASHION DEWASA,Fashion > AKSESORIS FASHION DEWASA,Fashion > AKSESORIS FASHION DEWASA > UNTUK HUJAN,48,47,384
1137,PAYUNG,,4,0,true,A008-02-08-01,01,true,true,0008000200080001,384,UNTUK HUJAN,Fashion > AKSESORIS FASHION DEWASA > UNTUK HUJAN,Fashion > AKSESORIS FASHION DEWASA > UNTUK HUJAN > PAYUNG,67,64,67
1138,PAYUNG LIPAT,,4,0,true,A008-02-08-02,02,true,true,0008000200080002,384,UNTUK HUJAN,Fashion > AKSESORIS FASHION DEWASA > UNTUK HUJAN,Fashion > AKSESORIS FASHION DEWASA > UNTUK HUJAN > PAYUNG LIPAT,63,53,63
1813,JAS HUJAN,,4,0,true,A008-02-08-03,03,true,true,0008000200080003,384,UNTUK HUJAN,Fashion > AKSESORIS FASHION DEWASA > UNTUK HUJAN,Fashion > AKSESORIS FASHION DEWASA > UNTUK HUJAN > JAS HUJAN,206,155,206
385,ROLL (GULUNGAN) RAMBUT DEWASA,,3,0,true,A008-02-09,09,true,true,00080002000A,48,AKSESORIS FASHION DEWASA,Fashion > AKSESORIS FASHION DEWASA,Fashion > AKSESORIS FASHION DEWASA > ROLL (GULUNGAN) RAMBUT DEWASA,35,28,35
386,SAPU TANGAN DEWASA,,3,0,true,A008-02-10,10,true,true,00080002000B,48,AKSESORIS FASHION DEWASA,Fashion > AKSESORIS FASHION DEWASA,Fashion > AKSESORIS FASHION DEWASA > SAPU TANGAN DEWASA,8,7,8
387,SYAL DEWASA,,3,0,true,A008-02-11,11,true,true,00080002000C,48,AKSESORIS FASHION DEWASA,Fashion > AKSESORIS FASHION DEWASA,Fashion > AKSESORIS FASHION DEWASA > SYAL DEWASA,25,25,25
388,TOPI DEWASA,,3,0,true,A008-02-12,12,true,true,00080002000D,48,AKSESORIS FASHION DEWASA,Fashion > AKSESORIS FASHION DEWASA,Fashion > AKSESORIS FASHION DEWASA > TOPI DEWASA,237,225,237
49,FASHION ANAK & BAYI,,2,3,false,A008-03,03,true,true,00080003,8,Fashion,Fashion,Fashion > FASHION ANAK & BAYI,596,590,6791
389,PAKAIAN ANAK LAKI-LAKI,,3,6,false,A008-03-01,01,true,true,000800030001,49,FASHION ANAK & BAYI,Fashion > FASHION ANAK & BAYI,Fashion > FASHION ANAK & BAYI > PAKAIAN ANAK LAKI-LAKI,48,47,2464
1139,ATASAN ANAK LAKI-LAKI,,4,0,true,A008-03-01-01,01,true,true,0008000300010001,389,PAKAIAN ANAK LAKI-LAKI,Fashion > FASHION ANAK & BAYI > PAKAIAN ANAK LAKI-LAKI,Fashion > FASHION ANAK & BAYI > PAKAIAN ANAK LAKI-LAKI > ATASAN ANAK LAKI-LAKI,734,701,734
1140,BAJU LUARAN ANAK LAKI-LAKI,,4,0,true,A008-03-01-02,02,true,true,0008000300010002,389,PAKAIAN ANAK LAKI-LAKI,Fashion > FASHION ANAK & BAYI > PAKAIAN ANAK LAKI-LAKI,Fashion > FASHION ANAK & BAYI > PAKAIAN ANAK LAKI-LAKI > BAJU LUARAN ANAK LAKI-LAKI,115,115,115
